Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,D2D Price,VTS Friend Price,Currency,Quantity,Buy Now Activate?,Buy Now Shipping,Ships Within (days),Make an Offer?,Auto-Accept Offers above,Auto-Reject Offers below,Weight,"Weight Units (1 = 'Lbs', 2= 'Kg')",Height,Width,Depth,Sale %,Bulk Shipping Eligible,Available as Parts?,In Stock,Item ID,Item ID Type (SKU/EAC/JAN/MPN/MMN),Your Item ID,Your Item ID 2,Alt. Address,Youtube URL,Video URL,Listing ID (Leave Blank to Add),Delete,Auto-Renew,Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Image 21,Image 22,Image 23,Image 24,Image 25
Cath Angio Lab,SIEMENS,SIEMENS POLYTRON TOP,SIEMENS POLYTRON TOP,,"29 60 768 2960768 2960776 BOARD, BST  BOARD TERMINATOR","29 60 768 2960768 2960776 BOARD, BST  BOARD TERMINATOR",,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1524905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,Aquilion 4,TOSHIBA,TOSHIBA,px74-05802*g  dtb,PX74-05802*G  DTB,PX74-05802*G  DTB,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,2312103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,PROSPEED,PROSPEED,,P9151VY-02  MFC CTL,P9151VY-02  MFC CTL,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1532791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,PHILIP POLY,PHILIP POLY,,452210783053 or 452210391893  45221078305 or 452210391893,452210783053 or 452210391893  45221078305 or 452210391893,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1533460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote R/F Room,LUMINOS,SIEMENS,SIEMENS,8371408 D124,8371408 D124,8371408 D124,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,4517201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,PHILIPS,PHILIPS,,451210770604,451210770604,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,681404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,POLY 80/800,POLY 80/800,,8337222 D50,8337222 D50,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,882660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,PICKER,PICKER,,HCD 63CE4007-S11 CE4007-S1 CE4007-R11 SIF-5A CE4007-A/0 PB1 L11 L21 SIF-5A (A) PB1196002,HCD 63CE4007-S11 CE4007-S1 CE4007-R11 SIF-5A CE4007-A/0 PB1 L11 L21 SIF-5A (A) PB1196002,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1525951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,GE,GE,,2107038 TABLE SIDE CONTROL,2141318 EXABYTE 8505,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1524874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,PHILIPS INTERGIS,PHILIPS INTERGIS,,451210759802 Z270 451210759802,451210759802 Z270 451210759802,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1532060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,GE,GE,,625-011584 REV A 5533419 DCBA,625-011584 REV A 5533419 DCBA,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1525464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS,SIEMENS,,1632178 X1454 D410 E1  1632178 X1454 D410 E1,1632178 X1454 D410 E1  1632178 X1454 D410 E1,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1532182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,UNKNOWN,UNKNOWN,,7E6025 Rev B,7E6025 Rev B,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,684058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,GE ADVANTIX,GE ADVANTIX,,SYNC ANND TIMING BD 46-264640G2A,VIDEO PROCESSOR 46-321427P1 REV4,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1437253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Lab,H5000,PHILIPS,PHILIPS,452210821763 ,452210821763 ,452210821763 ,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,1855696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS,SIEMENS,,9349465/02 B1176001 9349465/02,9349465/02 B1176001 9349465/02,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1531740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
