Category,System Model,System Mfg,Part Mfg,Part Number
CT SCANNER,DISCOVERY-HD750,GE,GE,5197802-3
CT SCANNER,BRILLIANCE-64,PHILIPS,PHILIPS,459800370491
MRI SCANNER,OPTIMA-MR450W,GE,GE,5720376-2
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,2387073
C ARM,BV-PULSERA,PHILIPS,PHILIPS,452230026061
CT SCANNER,OPTIMA-CT660-DISCOVERY-HD750-DEFINIUM-6000,GE,GE,2351200-4
MRI SCANNER,OPTIMA-MR450W,GE,GE,5406150-8
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,2389883-3
RAD ROOM,PROTEUS-XR,GE,GE,a3255-1
PORTABLE X-RAY,OPTIMA-XR220,GE,GE,46-286129p67
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5611554
CATH ANGIO LAB,AXIOM-ARTIS-DFC,SIEMENS,SIEMENS,10092591
CT SCANNER,ASTEION-S4,TOSHIBACANON,TOSHIBACANON,px79-11267e
MRI SCANNER,SIGNA-OVATION-035T-BRIVO-MR355,GE,GE,5346240
CT SCANNER,NEUVIZ-16,PHILIPS,PHILIPS,551001420
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451213406541
CT SCANNER,NEUVIZ-16,PHILIPS,PHILIPS,522300953
NUCLEAR GAMMA CAMERA,ECAM,SIEMENS,SIEMENS,10411903
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800544303
CT SCANNER,DEFINITION-AS-128,SIEMENS,SIEMENS,10742499
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,459800111787
CT SCANNER,ASTEION-VP-SINGLE,TOSHIBA,TOSHIBA,px74-051362
RAD ROOM,PROTEUS-XR,GE,GE,2197288
CT SCANNER,DEFINITION-FLASH-DS-128-,SIEMENS,SIEMENS,10431923
CT SCANNER,LIGHTSPEED-VCT-32,GE,GE,2169681
MRI SCANNER,OPTIMA-MR360,GE,GE,5193863
RAD ROOM,PROTEUS-XR,GE,GE,sat-a3255-01
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,453501000181
MRI SCANNER,ACHIEVA-30T-INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,452215020552
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,452298035275
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,452215021653
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,812210274901
C ARM,BV-PULSERA,PHILIPS,PHILIPS,452230026062
MRI SCANNER,BRIVO-MR355-OPTIMA-MR360-SIGNA-EXPLORER-15T,GE,GE,5433103
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,mrsp-gnr-0818
MAMMO UNIT,MAMMOMAT-INSPIRATION,SIEMENS,SIEMENS,11105069
CT SCANNER,ASTEION-S4,TOSHIBACANON,TOSHIBACANON,px74-06047-gr3
CT SCANNER,EMOTION-16,SIEMENS,SIEMENS,743402
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10432992
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5224090
C ARM,SIREMOBIL-ISO-C,SIEMENS,SIEMENS,4699757
C ARM,SIREMOBIL-ISO-C,SIEMENS,SIEMENS,4663456
C ARM,SIREMOBIL-ISO-C,SIEMENS,SIEMENS,4673059
C ARM,SIREMOBIL-ISO-C,SIEMENS,SIEMENS,4663449
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452215040111
CATH ANGIO LAB,AXIOM-ARTIS-MP,SIEMENS,SIEMENS,10756949
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452215042182
RAD ROOM,DIGITAL-DIAGNOST-VM,PHILIPS,PHILIPS,451213411971
PORTABLE X-RAY,PRACTIX-360,PHILIPS,PHILIPS,451213432471
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,453530096331
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,nc004034
CT SCANNER,OPTIMA-CT540,GE,GE,5340474
RAD ROOM,ALLURA-XPER-FD10-ALLURA-XPER-FD20-DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451211322341
MAMMO UNIT,MAMMOMAT-INSPIRATION,SIEMENS,SIEMENS,10862140
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,10563408
CT SCANNER,LIGHTSPEED-16,GE,GE,5401846
CT SCANNER,ECLOS-16,HITACHI,HITACHI,yc4019-r12
CT SCANNER,OPTIMA-CT540,GE,GE,5316029
C ARM,BV-LIBRA,PHILIPS,PHILIPS,459800011733
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,3228017
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,bsx77-5432b
RAD ROOM,DIGITAL-DIAGNOST-VM,PHILIPS,PHILIPS,451220104835
CT SCANNER,DISCOVERY-HD750-LIGHTSPEED-VCT-64-OPTIMA-CT660,GE,GE,5721058
PET CT,DISCOVERY-ST,GE,GE,5335009
CT SCANNER,ASTEION-S4,TOSHIBACANON,TOSHIBACANON,px74-08861-gr-2
CT SCANNER,ASTEION-S4,TOSHIBACANON,TOSHIBACANON,px74-09747-gr-2
RAD ROOM,YSIO-F,SIEMENS,SIEMENS,7264393
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ct-wg-11
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5156321-2
CT SCANNER,SCENARIA,HITACHI,HITACHI,mcs7070h
PORTABLE X-RAY,TMX-PLUS,GE,GE,2395791
MRI SCANNER,SIGNA-EXPLORER-15T,GE,GE,5759311
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452211789261
CT SCANNER,OPTIMA-CT660-DISCOVERY-HD750,GE,GE,5700000-30
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5443517
RAD FLUORO ROOM,AXIOM-LUMINOS-DRF,SIEMENS,SIEMENS,62145098
CT SCANNER,OPTIMA-CT660-DISCOVERY-HD750,GE,GE,5700000-23
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,452213315331
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px71-08123b
RAD ROOM,YSIO-MAX,SIEMENS,SIEMENS,10092746
PORTABLE X-RAY,PRACTIX-360,PHILIPS,PHILIPS,451213432461
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px71-07100c
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,10109719
CT SCANNER,BRILLIANCE-64,PHILIPS,PHILIPS,989605200522
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,11344550
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,6626363
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452213700367
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5922000
C ARM,ARCADIS-AVANTIC,SIEMENS,SIEMENS,10304292
MRI SCANNER,SIGNA-EXCITE-15T-11X,GE,GE,5339912
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,452213083652
MRI SCANNER,OPTIMA-MR360,GE,GE,5491720
MRI SCANNER,OPTIMA-MR360,GE,GE,5931000
CT SCANNER,VOLUME-ZOOM,SIEMENS,SIEMENS,311772-001
CT SCANNER,OPTIMA-CT660-DISCOVERY-HD750,GE,GE,5700000-37
RAD FLUORO ROOM,PRECISION-MPI,GE,GE,5432962
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5115335-2
CT SCANNER,LIGHTSPEED-VCT-32-LIGHTSPEED-VCT-64,GE,GE,5115335-12
MRI SCANNER,SIGNA-HDXT-30T,GE,GE,2383995
MRI SCANNER,SIGNA-EXCITEHD-15TNA,GE,GE,2368697-5
CATH ANGIO LAB,ALLURA-XPER-FD10,PHILIPS,PHILIPS,989600206473
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,10187112
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452215022781
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,2345925
CT SCANNER,EMOTION-16,SIEMENS,SIEMENS,7101812
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,2320323
MRI SCANNER,DISCOVERY-MR750-30T-SIGNA-OVATION-035T-BRIVO-MR355-OPTIMA-MR360,GE,GE,2280951
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,2280952
MRI SCANNER,MAGNETOM-ESPREE-MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10125874
MRI SCANNER,MAGNETOM-ESPREE-MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7122232
RAD ROOM,PROTEUS-XR,GE,GE,46-321272g2
MRI SCANNER,MAGNETOM-AVANTO-15T-MAGNETOM-ESPREE,SIEMENS,SIEMENS,3163714
MRI SCANNER,MAGNETOM-ESPREE,SIEMENS,SIEMENS,10103250
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,459800541751
CT SCANNER,BRIGHTSPEED-ELITE-16,GE,GE,ct-gcvc-17
CT SCANNER,OPTIMA-CT660,GE,GE,5700000-24
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,459800093571
MAMMO UNIT,MAMMOMAT-INSPIRATION,SIEMENS,SIEMENS,10140019
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,459800093881
CT SCANNER,BRIGHTSPEED-SELECT-16,GE,GE,5129732
MRI SCANNER,OPTIMA-MR450,GE,GE,5793888
C ARM,BV-300,PHILIPS,PHILIPS,989601002623
RAD ROOM,YSIO-MAX,SIEMENS,SIEMENS,10399028
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,2397557
MRI SCANNER,PROFILE-4,GE,GE,2261601-2
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5494676
MAMMO UNIT,SENOGRAPHE-2000D,GE,GE,2397559
CT SCANNER,OPTIMA-CT660,GE,GE,e8004gd
C ARM,BV-PULSERA,PHILIPS,PHILIPS,989600008873
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,2389568
CT SCANNER,OPTIMA-CT660,GE,GE,e8004gj
CT SCANNER,LIGHTSPEED-16,GE,GE,2115990-3
C ARM,FLUOROSTAR,GE,GE,00-453343-01
RAD FLUORO ROOM,OMNI-DIAGNOST-ELEVA,PHILIPS,PHILIPS,452216703252
CT SCANNER,BRIGHTSPEED-SELECT-16,GE,GE,2225004-9
RAD FLUORO ROOM,JUNO-DRF,PHILIPS,PHILIPS,451213423665
CT SCANNER,HISPEED-DUAL,GE,GE,5117243-2
CATH ANGIO LAB,ALLURA-XPER-FD10,PHILIPS,PHILIPS,452230025982
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213056561
RAD ROOM,DIGITAL-DIAGNOST-VM,PHILIPS,PHILIPS,451213345791
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213056541
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213056551
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,11060843
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px71-07802-gr1
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451213406382
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451213346302
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px74-08757a
PORTABLE X-RAY,MOBILEDIAGNOST-WDR,PHILIPS,PHILIPS,451259019124
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451220104762
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,5126799
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,2870061
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,7279107
C ARM,BV-PULSERA-BV-ENDURA,PHILIPS,PHILIPS,459800319213
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px74-08757c
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,3491271
MRI AMPLIFIER,SIGNA-OVATION-035T,GE,GE,10-61195-01
CT SCANNER,ECLOS-16,HITACHI,HITACHI,7226557d
RAD ROOM,PROTEUS-XR,GE,GE,2226325-34
RAD ROOM,PROTEUS-XR,GE,GE,2318537
RAD FLUORO ROOM,MULTI-DIAGNOST-ELEVA,PHILIPS,PHILIPS,452216407201
CT SCANNER,AQUILION-ONE,TOSHIBACANON,TOSHIBACANON,px73-17075m-3
CT SCANNER,ECLOS-16,HITACHI,HITACHI,7226557n
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,e8811pd
CT SCANNER,HISPEED,GE,GE,2233745-2
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,5508129
RAD ROOM,PROTEUS-XR,GE,GE,2259298-31
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,453564206131
CT SCANNER,AQUILION-ONE,TOSHIBACANON,TOSHIBACANON,px73-17075
RAD ROOM,PROTEUS-XR,GE,GE,2259298-30
PET CT,BIOGRAPH-MCT,SIEMENS,SIEMENS,8078565
C ARM,SIREMOBIL-ISO-C,SIEMENS,SIEMENS,10144790
CATH ANGIO LAB,AXIOM-ARTIS-ZEE-FLOOR,SIEMENS,SIEMENS,10500997
PET CT,BIOGRAPH-MCT,SIEMENS,SIEMENS,10250011
C ARM,STENOSCOP,GE,GE,2105607
MRI SCANNER,OPTIMA-MR360,GE,GE,5365880
C ARM,OEC-9900-ELITE,GE,GE,00-884766-01
MRI SCANNER,INTERA-ACHIEVA-15T-NOVA-DUAL,PHILIPS,PHILIPS,459800167901
CT SCANNER,BRILLIANCE-BIG-BORE-BRILLIANCE-64-BRILLIANCE-ICT-128,PHILIPS,PHILIPS,453567533573
C ARM,STENOSCOP,GE,GE,th-9438-hx-h560
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,459800580111
C ARM,OEC-9900-ELITE,GE,GE,5263643
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,984850049401
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451220107252
MRI SCANNER,PANORAMA-06T,PHILIPS,PHILIPS,451000000611
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,453567400823
CT SCANNER,DISCOVERY-HD750,GE,GE,5206402
CT SCANNER,DISCOVERY-HD750,GE,GE,5212920-100
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,459800688681
CT SCANNER,LIGHTSPEED-16,GE,GE,5111425-2
CT SCANNER,DEFINITION-DS-64,SIEMENS,SIEMENS,8429255
CT SCANNER,DISCOVERY-HD750,GE,GE,5197802-4
C ARM,OEC-FLUOROSTAR-7900,GE,GE,5720198
CATH ANGIO LAB,INNOVA-2000,GE,GE,5260971
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,10394993
PORTABLE X-RAY,AMX-4,GE,GE,46-270615p2
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5461187
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,7388809
RAD ROOM,DIGITAL-DIAGNOST-VM,PHILIPS,PHILIPS,451220105611
MRI SCANNER,SIGNA-HDXT-30T-SIGNA-EXCITEHD-15T-SIGNA-EXCITE-15T-11X,GE,GE,5444529-2
CT SCANNER,DEFINITION-AS-128,SIEMENS,SIEMENS,7273530
CT SCANNER,BRIVO-MR355-OPTIMA-CT520-OPTIMA-MR360,GE,GE,5429039-40
MRI SCANNER,SIGNA-PROFILE-02T,GE,GE,5133547
CATH ANGIO LAB,AXIOM-ARTIS-DFC,SIEMENS,SIEMENS,6573872
C ARM,OEC-9800-ESP,GE,GE,20-842001-00
C ARM,SIREMOBILE-COMPACTL,SIEMENS,SIEMENS,3779407
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,1018553
CT SCANNER,EMOTION-16,SIEMENS,SIEMENS,10049948
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452213197201
CATH ANGIO LAB,AXIOM-ARTIS-DMP,SIEMENS,SIEMENS,6584044
MRI SCANNER,MAGNETOM-ESSENZA,SIEMENS,SIEMENS,10498864
C ARM,OEC-7900,GE,GE,00-453936-01
CT SCANNER,LIGHTSPEED-16,GE,GE,2318704-2
CT SCANNER,DISCOVERY-VCT-DISCOVERY-HD750-LIGHTSPEED-ULTRA-8-LIGHTSPEED-PLUS-4-LIGHTSPEED-QXI-4-DISCOVERY-ST,GE,GE,5222001
CT SCANNER,MX8000-IDT,PHILIPS,PHILIPS,455012001613
RAD FLUORO ROOM,EASY-DIAGNOST-ELEVA,PHILIPS,PHILIPS,451210760605
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,455011301171
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px74-09396
RAD ROOM,ALLURA-XPER-FD10-ALLURA-XPER-FD20-DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451210473614
MRI SCANNER,MAGNETOM-ESSENZA,SIEMENS,SIEMENS,10353300
RAD FLUORO ROOM,INNOVA-2100-DISCOVERY-IGS-540-DISCOVERY-IGS-530-INNOVA-3100-INNOVA-4100,GE,GE,5446660
NUCLEAR GAMMA CAMERA,INFINIA-HAWKEYE-4,GE,GE,pcb000322
MRI SCANNER,INTERA-ACHIEVA-30T,PHILIPS,PHILIPS,452213317221
RAD FLUORO ROOM,AXIOM-LUMINOS-DRF,SIEMENS,SIEMENS,10307647
CT SCANNER,AQUILION-ONE,TOSHIBACANON,TOSHIBACANON,bsx77-4840e-13
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,2351333
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451213118922
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,459800405582
PORTABLE X-RAY,MOBILETT-XP-HYBRID,SIEMENS,SIEMENS,1039643
C ARM,ARCADIS-VARIC,SIEMENS,SIEMENS,10047650
MRI AMPLIFIER,AIRIS-VENTO-03T,HITACHI,HITACHI,mr-gpa-3
NUCLEAR GAMMA CAMERA,INFINIA-HAWKEYE-4,GE,GE,5165280
MRI SCANNER,MAGNETOM-SKYRA-30T,SIEMENS,SIEMENS,10591598
MRI SCANNER,MAGNETOM-SYMPHONY-15T,SIEMENS,SIEMENS,572889
MRI SCANNER,MAGNETOM-SYMPHONY-15T,SIEMENS,SIEMENS,3146532
MRI SCANNER,OPTIMA-MR450W,GE,GE,5265300-22
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5392131-2
CATH ANGIO LAB,INNOVA-2000,GE,GE,5123175
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451220106141
MRI SCANNER,AIRIS-II-AIRIS-ELITE,HITACHI,HITACHI,ga300
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213245971
C ARM,ARCADIS-VARIC,SIEMENS,SIEMENS,1014309
NUCLEAR GAMMA CAMERA,INFINIA-HAWKEYE-4,GE,GE,pcb000394
MRI SCANNER,OPTIMA-MR450,GE,GE,e8823ma
CT SCANNER,REVOLUTION-ACT,GE,GE,5495657-2
PET CT,DEFINITION-AS-BIOGRAPH-MCT,SIEMENS,SIEMENS,8098621
CATH ANGIO LAB,INFINIX,TOSHIBACANON,TOSHIBACANON,dt64-eta-02
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,100th-m1
CT SCANNER,EMOTION-DUO,SIEMENS,SIEMENS,7734564
MRI SCANNER,AIRIS-II,HITACHI,HITACHI,mr-qsc-6341
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,989603205111
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213139433
CT SCANNER,AQUILION-64-AQUILION-32-AQUILION-8-AQUILION-16-AQUILION-ONE-AQUILION-LB-AQUILION-PRIME,TOSHIBACANON,TOSHIBACANON,px71-07486-1
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,10856729
MAMMO UNIT,SENOGRAPHE-2000D,GE,GE,2121398
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,3064771
CT SCANNER,DISCOVERY-VCT-DISCOVERY-HD750-LIGHTSPEED-ULTRA-8-LIGHTSPEED-PLUS-4-LIGHTSPEED-QXI-4-DISCOVERY-ST,GE,GE,5410597
C ARM,OEC-FLUOROSTAR-7900,GE,GE,0-453903-01
PET CT,DISCOVERY-ST,GE,GE,2339314
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5339708-3
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,5189602
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,989603205121
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,46-288016g9-a
CT SCANNER,ECLOS-16,HITACHI,HITACHI,yr0001-r10
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,989603023612
PET CT,DISCOVERY-ST,GE,GE,2290186
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,2108593
PET CT,DISCOVERY-VCT-DISCOVERY-HD750-LIGHTSPEED-ULTRA-8-LIGHTSPEED-PLUS-4-LIGHTSPEED-QXI-4-DISCOVERY-ST,GE,GE,5222001-500
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451220107562
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10496785
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5159485-6
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5855029
CT SCANNER,LIGHTSPEED-RT-16,GE,GE,z9807qd
CT SCANNER,SUPRIA,HITACHI,HITACHI,ct-wg-50
MRI SCANNER,AIRIS-II,HITACHI,HITACHI,mr-qkc-51
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,453566384061
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,451213022543
CT SCANNER,INGENUITY-64,PHILIPS,PHILIPS,459801484991
RAD ROOM,PROTEUS-XR,GE,GE,sat-a6204-00-rad
CATH ANGIO LAB,INNOVA-2100-INNOVA-3100-INNOVA-3131IQ-INNOVA-4100IQ,GE,GE,5892935
CATH ANGIO LAB,INNOVA-2100,GE,GE,2336484-2
CT SCANNER,DISCOVERY-HD750,GE,GE,6406405rg
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452213217042
MRI SCANNER,SIGNA-EXCITE-HDXT-15T-15X,GE,GE,46-260776g4
MRI SCANNER,MAGNETOM-SKYRA-30T,SIEMENS,SIEMENS,10358451
PORTABLE X-RAY,AMX-4,GE,GE,46-270985p2
MRI SCANNER,SIGNA-EXCITE-HDXT-15T-15X,GE,GE,46-251865g1
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,455014010301
MRI SCANNER,MULTIVA-15T,PHILIPS,PHILIPS,459800661751
CT SCANNER,AQUILION-32-AQUILION-64-AQUILION-16,TOSHIBACANON,TOSHIBACANON,px72-06930-2
MRI SCANNER,SIGNA-EXPLORER-15T,GE,GE,2422855
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,452215033951
RAD FLUORO ROOM,OMNI-DIAGNOST,PHILIPS,PHILIPS,987400628112
C ARM,SIREMOBILE-COMPACTL,SIEMENS,SIEMENS,8887452
MAMMO UNIT,SENOGRAPHE-DS,GE,GE,5324091
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,10409488
RAD ROOM,PROTEUS-XR,GE,GE,5132912
MAMMO UNIT,SENOGRAPHE-ESSENTIAL-E-SENOGRAPHE-ESSENTIAL,GE,GE,5159485
PET CT,DISCOVERY-ST,GE,GE,2336781-2
PET CT,DISCOVERY-VCT,GE,GE,2401577
MRI SCANNER,OPTIMA-MR360,GE,GE,46-307500g1
C ARM,OEC-9900-ELITE,GE,GE,st336807fc
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,11105386
CT SCANNER,BRILLIANCE-BIG-BORE-BRILLIANCE-64-BRILLIANCE-16-BRILLIANCE-ICT-128,PHILIPS,PHILIPS,453507383921
CT SCANNER,AQUILION-ONE,TOSHIBACANON,TOSHIBACANON,mcs-7088
MRI SCANNER,ACHIEVA-30T,PHILIPS,PHILIPS,452212861511
MRI SCANNER,SIGNA-EXPLORER-15T,GE,GE,e8802rd
MRI SCANNER,SIGNA-INFINITY-15T,GE,GE,46-271511p1
CT SCANNER,HISPEED-DUAL,GE,GE,2355488
PET CT,DISCOVERY-ST,GE,GE,2336781-4
CT SCANNER,MX16,PHILIPS,PHILIPS,455110239801
MRI SCANNER,PANORAMA-06T,PHILIPS,PHILIPS,451000000831
MAMMO UNIT,SENOGRAPHE-DMR,GE,GE,2299552-2
CATH ANGIO LAB,INNOVA-2100IQ,GE,GE,5641043
C ARM,OEC-9800-ESP,GE,GE,5248596
CT SCANNER,OPTIMA-CT660,GE,GE,5341419
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10748244
MRI SCANNER,MAGNETOM-SYMPHONY-15T,SIEMENS,SIEMENS,4763707
MRI SCANNER,SIGNA-EXCITE-15T-11X,GE,GE,re71tn0408
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,459800330881
CT SCANNER,INGENUITY-64,PHILIPS,PHILIPS,459801484981
RAD ROOM,PROTEUS-XR,GE,GE,9022902
MAMMO UNIT,SENOGRAPHE-2000D,GE,GE,d4182m
MRI SCANNER,MAGNETOM-ESPREE,SIEMENS,SIEMENS,7387876
MRI SCANNER,SIGNA-INFINITY-15T,GE,GE,2222564-23
PORTABLE X-RAY,MOBILETT-XP-HYBRID,SIEMENS,SIEMENS,10390983
CT SCANNER,DISCOVERY-HD750,GE,GE,5121647-3
CT SCANNER,DEFINITION-DS-64,SIEMENS,SIEMENS,10141781
MRI SCANNER,OPTIMA-MR450,GE,GE,5351443
MRI SCANNER,MAGNETOM-SKYRA-30T,SIEMENS,SIEMENS,10590402
CT SCANNER,AQUILION-16-AQUILION-64-AQUILION-32-AQUILION-8,TOSHIBACANON,TOSHIBACANON,bsx71-1031e
C ARM,SIREMOBILE-COMPACTL,SIEMENS,SIEMENS,98202907-s
CT SCANNER,OPTIMA-CT540-OPTIMA-CT660,GE,GE,5335963-2
MRI SCANNER,MAGNETOM-ESPREE,SIEMENS,SIEMENS,11267972
MRI SCANNER,MAGNETOM-OPEN-VIVA-MAGNETOM-CONCERTO,SIEMENS,SIEMENS,4693818
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5143012
CT SCANNER,DEFINITION-AS,SIEMENS,SIEMENS,10187078
CATH ANGIO LAB,AXIOM-ARTIS-DMP,SIEMENS,SIEMENS,6584077
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213166962
C ARM,ARCADIS-VARIC,SIEMENS,SIEMENS,8630019
MRI SCANNER,OPTIMA-MR450,GE,GE,5140621-10
NUCLEAR GAMMA CAMERA,SYMBIA-T16,SIEMENS,SIEMENS,10183278
MRI SCANNER,SIGNA-EXCITE-HDXT-15T-15X,GE,GE,5145298
MRI SCANNER,MAGNETOM-SKYRA-30T,SIEMENS,SIEMENS,10683830
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,5166644
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,5145250
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,435567466581
CT SCANNER,LIGHTSPEED-VCT-32-LIGHTSPEED-VCT-64,GE,GE,5143008
MRI SCANNER,INTERA-15T,PHILIPS,PHILIPS,45221770865
PET CT,DISCOVERY-ST,GE,GE,5193454
