Category,System Model,System Mfg,Part Mfg,Part Number
CT SCANNER,SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10415400
MRI SCANNER,SIGNA-EXCITE-HD-HDXT-15T,GE,GE,2192406-12
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213317211
CT SCANNER,AQUILION-64,TOSHIBACANON,TOSHIBACANON,px74-08824-2
MRI SCANNER,OPTIMA-MR360,GE,GE,5342947
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,2375399-5
RAD ROOM,DEFINIUM-8000,GE,GE,2332038
PORTABLE X-RAY,MOBILETT-XP,SIEMENS,SIEMENS,7566925
ULTRASOUND GENERAL,VIVID-S70,GE,GE,s5407376
MRI SCANNER,VARIOUS-MRI-PHILIPS,PHILIPS,PHILIPS,452213244574
MRI SCANNER,VARIOUS-MRI-PHILIPS,PHILIPS,PHILIPS,453530283201
CT SCANNER,VARIOUS-CT-GE,GE,GE,5140001-3
CT SCANNER,VARIOUS-CT-GE,GE,GE,2269165
CT SCANNER,VARIOUS-CT-GE,GE,GE,2120100-3
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,5168193
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,6250184
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,5145567-2
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,2148300-7
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,5339429
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,5560969
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,2302305
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,5339427
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,2194318
MRI SCANNER,VARIOUS-MRI-GE,GE,GE,2217679
CATH ANGIO LAB,VARIOUS-CATH-LAB-ANGIO-GE,GE,GE,2214620-2
CT SCANNER,AQUILION-64,TOSHIBACANON,TOSHIBACANON,px74-06047-kgr4
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,ulm-6wa-41t
CT SCANNER,BRILLIANCE-ICT-128,PHILIPS,PHILIPS,459800135771
MAMMO UNIT,3DIMENSIONS-ACHIEVA-15T-POLYDOROS-80-S,HOLOGICPHILIPSSIEMENS,HOLOGICPHILIPSSIEMENS,tzliltest4
CATH ANGIO LAB,INFINIX,TOSHIBACANON,TOSHIBACANON,pa03382-b763
